time,temperature_2m (°C),relativehumidity_2m (%),precipitation (mm),weathercode (wmo code),surface_pressure (hPa),cloudcover (%),windspeed_10m (m/s)
2023-01-01T00:00,10.3,77,0,0,1008.1,0,2.51
2023-01-01T01:00,9.5,81,0,0,1007.9,0,2.37
2023-01-01T02:00,9.5,82,0,0,1007.3,1,2.37
2023-01-01T03:00,9.4,82,0,0,1007.2,4,2.33
2023-01-01T04:00,9,83,0,0,1007,10,2.28
2023-01-01T05:00,9.3,80,0,1,1007,25,2.19
2023-01-01T06:00,9.4,80,0,1,1007.5,38,2.1
2023-01-01T07:00,10.2,76,0,1,1007.8,46,2.19
2023-01-01T08:00,10.3,75,0,1,1008.4,45,2.46
2023-01-01T09:00,10.4,76,0,1,1008.3,46,2.91
2023-01-01T10:00,12.6,67,0,2,1008.8,52,3.04
2023-01-01T11:00,12.5,67,0,2,1008.7,56,3.05
2023-01-01T12:00,12.3,68,0,2,1007.7,58,2.95
2023-01-01T13:00,14.3,64,0,2,1006.3,58,3
2023-01-01T14:00,14.7,64,0,2,1005.2,59,2.91
2023-01-01T15:00,15.5,61,0,2,1004.5,58,2.56
2023-01-01T16:00,15.5,65,0,2,1004.3,59,2.11
2023-01-01T17:00,15.5,66,0,2,1004.3,59,1.7
2023-01-01T18:00,14.7,70,0,2,1005,60,1.49
2023-01-01T19:00,15.1,69,0,2,1005.4,60,1.3
2023-01-01T20:00,15.4,69,0,2,1006.2,60,1.53
2023-01-01T21:00,15.7,68,0,2,1006.4,60,1.92
2023-01-01T22:00,15.2,69,0,2,1007.1,60,2.15
2023-01-01T23:00,14.3,75,0.6,53,1007.6,59,2.38
2023-01-02T00:00,14,76,0.1,51,1007.5,60,2.67
2023-01-02T01:00,13.3,80,0.6,53,1007,60,2.67
2023-01-02T02:00,12.6,83,0.2,51,1006.7,47,2.65
2023-01-02T03:00,12.3,85,0.1,51,1006.7,60,2.57
2023-01-02T04:00,12.5,84,0.3,51,1006.4,55,2.79
2023-01-02T05:00,12.5,83,0,2,1006.5,59,3.01
2023-01-02T06:00,12.5,79,0,1,1007,48,2.64
2023-01-02T07:00,12.6,75,0,1,1007.1,24,2.73
2023-01-02T08:00,12.5,74,0,1,1008.4,36,3.54
2023-01-02T09:00,12.4,74,0,2,1008.8,51,3.79
2023-01-02T10:00,14.2,65,0,2,1009.3,54,3.98
2023-01-02T11:00,14.3,65,0,1,1008.1,48,3.98
2023-01-02T12:00,13.8,67,0,1,1007.2,43,3.94
2023-01-02T13:00,15.2,64,0,1,1006.1,40,3.83
2023-01-02T14:00,15.7,63,0,1,1005.3,48,3.93
2023-01-02T15:00,15.8,63,0,2,1004.7,52,3.96
2023-01-02T16:00,15.9,64,0,2,1004.9,52,3.93
2023-01-02T17:00,15.9,64,0,2,1005.2,57,3.54
2023-01-02T18:00,15.5,65,0,2,1005.8,57,2.89
2023-01-02T19:00,15.4,64,0,2,1006.7,56,3.55
2023-01-02T20:00,14.9,64,0,1,1007.4,44,4
2023-01-02T21:00,14.6,65,0,1,1007.9,50,3.83
2023-01-02T22:00,13.9,66,0,1,1008.4,45,3.42
2023-01-02T23:00,13.7,67,0,1,1008.3,40,3.32
2023-01-03T00:00,13.8,67,0,1,1008.6,44,3.16
2023-01-03T01:00,13,70,0,2,1008.3,58,3.2
2023-01-03T02:00,13.1,70,0,2,1008.1,57,3.32
2023-01-03T03:00,13,70,0,2,1007.6,61,3.64
2023-01-03T04:00,12.4,73,0,2,1007.6,68,3.58
2023-01-03T05:00,12.4,72,0.1,51,1007.6,62,3.29
2023-01-03T06:00,11.3,81,0.7,53,1007.8,62,2.56
2023-01-03T07:00,11.1,86,0.4,51,1008.6,67,2.85
2023-01-03T08:00,10.7,90,0.2,51,1009.4,88,3.38
2023-01-03T09:00,11.1,90,0.2,51,1009.2,100,3.67
2023-01-03T10:00,12.8,81,0.1,51,1009.5,52,3.53
2023-01-03T11:00,13.5,75,0,2,1009.1,72,3.96
2023-01-03T12:00,13.8,72,0,2,1008.5,59,3.73
2023-01-03T13:00,15.6,65,0,2,1007.3,64,3.72
2023-01-03T14:00,15.6,63,0,3,1006.6,100,3.51
2023-01-03T15:00,15.6,64,0,3,1006.1,100,3.45
2023-01-03T16:00,15.2,65,0,3,1005.8,100,3.38
2023-01-03T17:00,14.5,67,0,3,1005.7,100,3.18
2023-01-03T18:00,14.6,67,0,3,1005.4,100,2.06
2023-01-03T19:00,14.4,68,0,3,1006.1,100,2.38
2023-01-03T20:00,14.3,70,0,3,1007.1,100,2.89
2023-01-03T21:00,14.4,70,0,3,1007.2,100,3.04
2023-01-03T22:00,14,69,0,3,1007.4,89,2.97
2023-01-03T23:00,13.6,72,0,3,1007.5,82,2.69
2023-01-04T00:00,13.4,72,0,3,1007.6,100,2.6
