time,temperature_2m (°C),relativehumidity_2m (%),rain (mm),weathercode (wmo code),surface_pressure (hPa),cloudcover (%),windspeed_10m (m/s)
2015-07-01T00:00,28.9,86,0,1,988.7,49,1.61
2015-07-01T01:00,28.3,88,0,1,988.2,44,1.81
2015-07-01T02:00,28.1,88,0,1,987.7,45,1.82
2015-07-01T03:00,27.9,87,0,2,987.1,51,2.04
2015-07-01T04:00,27.7,89,0,2,987.1,57,2.06
2015-07-01T05:00,27.7,89,0,2,987,65,1.97
2015-07-01T06:00,28.7,85,0,1,987.7,38,1.35
2015-07-01T07:00,29.1,83,0.1,51,988.3,38,1.92
2015-07-01T08:00,29.8,80,0,1,988.4,35,2.83
2015-07-01T09:00,30.1,80,0.1,51,988.4,48,2.98
2015-07-01T10:00,32.1,69,0.2,51,988,35,3.48
2015-07-01T11:00,32.8,66,0.2,51,987.6,30,4
2015-07-01T12:00,33.1,64,0.1,51,987,51,4.49
2015-07-01T13:00,34.3,59,0.1,51,986.4,61,4.66
2015-07-01T14:00,34.6,58,0.1,51,985.7,56,4.49
2015-07-01T15:00,34.3,59,0.1,51,985.1,65,4.16
2015-07-01T16:00,34.1,62,0.3,51,984.7,80,3.05
2015-07-01T17:00,33.6,64,0.4,51,984.6,79,2.94
2015-07-01T18:00,31.3,75,0,2,985,67,1.79
2015-07-01T19:00,31.4,75,0,2,986.1,75,1.97
2015-07-01T20:00,30.9,77,0,2,986.5,50,1.73
2015-07-01T21:00,30.7,79,0,1,986.9,44,1.82
2015-07-01T22:00,29.4,84,0,1,987.2,40,1.51
2015-07-01T23:00,29,84,0,1,987.4,44,1.5
2015-07-02T00:00,28.7,85,0,1,987.5,50,1.75
2015-07-02T01:00,28.3,87,0,2,987,63,1.97
2015-07-02T02:00,28.2,87,0,2,986.6,71,1.93
2015-07-02T03:00,28.3,88,0,2,986.3,75,1.9
2015-07-02T04:00,28,90,0,2,986.5,70,1.77
2015-07-02T05:00,28,91,0,2,986.5,74,1.92
2015-07-02T06:00,29.2,84,0,2,986.3,55,1.58
2015-07-02T07:00,29.7,83,0,1,987,50,1.63
2015-07-02T08:00,30,81,0,2,986.7,54,2
2015-07-02T09:00,30.5,78,0,1,986.8,45,2.13
2015-07-02T10:00,32.7,66,0,1,987,40,2.69
2015-07-02T11:00,33.4,65,0,1,986.8,47,3.34
2015-07-02T12:00,33.7,65,0.1,51,986.5,67,4.06
2015-07-02T13:00,34.9,57,0,2,986.1,60,3.75
2015-07-02T14:00,34.5,61,0.2,51,985.4,51,3.8
2015-07-02T15:00,34.2,61,0.1,51,984.7,60,3.71
