time,temperature_2m (°C),relativehumidity_2m (%),precipitation (mm),weathercode (wmo code),surface_pressure (hPa),cloudcover (%),windspeed_10m (m/s)
2019-01-01T00:00,6.3,82,0,3,1012.1,82,3.86
2019-01-01T01:00,6.4,81,0,2,1011.9,63,3.86
2019-01-01T02:00,6.4,80,0,2,1011.7,53,3.79
2019-01-01T03:00,6.4,80,0,1,1011.5,48,3.76
2019-01-01T04:00,6,79,0,1,1011.3,36,3.86
2019-01-01T05:00,5.9,80,0,1,1011.2,31,4.11
2019-01-01T06:00,5.8,79,0,1,1011.6,21,3.67
2019-01-01T07:00,5.7,78,0,1,1012.4,22,3.51
2019-01-01T08:00,6.2,77,0,1,1013.3,32,4.22
2019-01-01T09:00,6.9,75,0,1,1012.9,23,4.74
2019-01-01T10:00,9.5,67,0,1,1012.7,23,4.74
2019-01-01T11:00,9.6,67,0,1,1011.5,26,4.79
2019-01-01T12:00,9.6,67,0,0,1009.9,16,4.62
2019-01-01T13:00,11,64,0,1,1008.5,32,4.43
2019-01-01T14:00,11,64,0,1,1008,28,4.37
2019-01-01T15:00,11,65,0,1,1008.1,35,4.24
2019-01-01T16:00,10.6,67,0,2,1008.3,51,4.27
2019-01-01T17:00,10.4,68,0,2,1008.7,63,3.88
2019-01-01T18:00,10.5,68,0,2,1009.3,51,3.54
2019-01-01T19:00,9.9,68,0,2,1009.9,59,3.54
2019-01-01T20:00,9.4,69,0,2,1010.3,60,3.45
2019-01-01T21:00,9.2,68,0,2,1010.7,64,3.37
2019-01-01T22:00,8.6,72,0,2,1010.8,65,3.35
2019-01-01T23:00,8.4,73,0,2,1011,74,3.45
2019-01-02T00:00,8.3,74,0,2,1011,78,3.48
2019-01-02T01:00,8.2,75,0.1,51,1010.9,71,3.2
2019-01-02T02:00,8.1,76,0.1,51,1010.5,87,3.32
2019-01-02T03:00,8,77,0.1,51,1010.2,89,3.51
2019-01-02T04:00,7.7,79,0,2,1009.9,77,3.61
2019-01-02T05:00,7.4,85,0,3,1010,100,3.55
2019-01-02T06:00,7.3,82,0,3,1009.6,100,3.44
2019-01-02T07:00,7.3,81,0,3,1010.5,100,3.4
2019-01-02T08:00,7.4,80,0,3,1011.2,82,3.58
2019-01-02T09:00,7.7,79,0,3,1011.6,82,3.68
2019-01-02T10:00,9.8,71,0,2,1011.9,76,3.58
2019-01-02T11:00,10.7,69,0,2,1011.2,80,3.76
2019-01-02T12:00,11.6,66,0,2,1010.1,69,3.83
2019-01-02T13:00,12.9,64,0,3,1008.8,82,3.93
2019-01-02T14:00,13,64,0,3,1008.1,100,3.96
2019-01-02T15:00,13,64,0,3,1007.8,100,3.89
2019-01-02T16:00,12.5,66,0,3,1007.8,100,3.83
2019-01-02T17:00,12,66,0,3,1008.4,100,3.64
2019-01-02T18:00,10,74,0,3,1008.6,100,3.2
2019-01-02T19:00,9.9,74,0,3,1009.5,100,3.2
2019-01-02T20:00,9.8,75,0,3,1010.2,100,3.2
2019-01-02T21:00,9.8,75,0,3,1010.3,100,3.1
2019-01-02T22:00,9.5,77,0,3,1010.2,100,2.95
2019-01-02T23:00,9.5,77,0.1,51,1010.1,100,2.95
2019-01-03T00:00,9.4,78,0.2,51,1010,100,2.73
2019-01-03T01:00,9.3,81,0.1,51,1009.6,100,2.51
2019-01-03T02:00,9.3,82,0.1,51,1009.4,100,2.55
2019-01-03T03:00,9.3,82,0.1,51,1009,100,2.51
2019-01-03T04:00,9,85,0.1,51,1008.4,100,2.64
2019-01-03T05:00,8.9,86,0,3,1008.3,100,2.64
2019-01-03T06:00,8.6,92,0,3,1008.2,100,2.56
2019-01-03T07:00,8.7,92,0.1,51,1008.8,100,2.69
2019-01-03T08:00,8.8,92,0,3,1009.6,100,2.56
2019-01-03T09:00,8.8,92,0,3,1010.4,100,3.02
2019-01-03T10:00,10.7,85,0,3,1010.5,100,2.88
2019-01-03T11:00,10.9,85,0,3,1010,100,3.08
2019-01-03T12:00,11.2,84,0,3,1008.8,100,2.66
2019-01-03T13:00,13.5,79,0,3,1007.8,100,2.75
2019-01-03T14:00,13.6,79,0,3,1006.5,100,2.64
2019-01-03T15:00,14.5,76,0,3,1006,83,2.82
2019-01-03T16:00,14.5,78,0,3,1006,100,2.64
2019-01-03T17:00,14.4,79,0,3,1006.6,100,2.47
2019-01-03T18:00,13.7,85,0,3,1007,100,1.65
2019-01-03T19:00,13.5,85,0,3,1007.8,100,1.79
2019-01-03T20:00,13.3,86,0,3,1007.9,100,1.94
2019-01-03T21:00,13.2,86,0.1,51,1007.7,100,1.84
2019-01-03T22:00,12.6,90,0,3,1007.6,100,1.84
2019-01-03T23:00,12.5,91,0,3,1007.1,91,1.7
2019-01-04T00:00,12.5,91,0,3,1007,90,1.7
2019-01-04T01:00,12.4,92,0.1,51,1006.7,100,1.63
2019-01-04T02:00,12.3,93,0.2,51,1006.5,100,1.56
2019-01-04T03:00,12.2,94,0,3,1006.1,100,1.49
2019-01-04T04:00,12.3,96,0,3,1005.7,100,1.27
2019-01-04T05:00,12.5,96,0,2,1005.9,60,1.35
2019-01-04T06:00,12.3,95,0,3,1005.9,81,1.3
2019-01-04T07:00,11.9,97,0,2,1007,67,1.35
2019-01-04T08:00,13,93,0,2,1007.5,55,1.49
2019-01-04T09:00,13.9,88,0,2,1007.8,54,1.35
2019-01-04T10:00,16.9,78,0,1,1008.3,35,1.28
2019-01-04T11:00,17.6,75,0,1,1007.4,44,1.14
2019-01-04T12:00,18.4,73,0,2,1006.3,53,0.85
2019-01-04T13:00,20.1,71,0,1,1005.1,38,0.64
2019-01-04T14:00,20.1,73,0,1,1004,37,0.4
2019-01-04T15:00,20.7,73,0,1,1003.7,44,0.1
2019-01-04T16:00,20.6,77,0,2,1003.5,76,0.41
2019-01-04T17:00,20.3,81,0,3,1004,98,1.02
2019-01-04T18:00,18.9,86,0,3,1004,100,0.92
2019-01-04T19:00,18.9,87,0,3,1005.1,100,1.1
2019-01-04T20:00,18.7,88,0,3,1004.8,100,1.02
2019-01-04T21:00,18.4,88,0,3,1005.2,100,1.08
2019-01-04T22:00,18.1,89,0,3,1005.1,100,1.21
2019-01-04T23:00,17.7,89,0,3,1004.9,100,1.25
2019-01-05T00:00,17.5,87,0,3,1004.6,95,1.34
2019-01-05T01:00,17.1,87,0,3,1004.2,97,1.49
2019-01-05T02:00,16.8,85,0.1,51,1004.2,96,1.58
2019-01-05T03:00,16.5,85,0,3,1003.7,95,1.71
2019-01-05T04:00,15.9,85,0,3,1003.2,95,1.75
2019-01-05T05:00,15.7,84,0,3,1003,96,1.79
2019-01-05T06:00,15.7,84,0,3,1002.5,100,1.44
2019-01-05T07:00,15.7,83,0,3,1003.7,100,1.58
2019-01-05T08:00,15.5,82,0,3,1004,100,1.84
2019-01-05T09:00,15.3,83,0,3,1004.7,100,1.77
2019-01-05T10:00,15.9,82,0,3,1005.5,100,1.71
2019-01-05T11:00,15.9,82,0,3,1005.4,100,1.77
2019-01-05T12:00,16.1,82,0.1,51,1004.9,100,1.77
2019-01-05T13:00,16.9,77,0,3,1003.7,100,1.96
2019-01-05T14:00,17.3,77,0,3,1003.3,100,2.18
2019-01-05T15:00,16.7,79,0,3,1003,100,2.34
2019-01-05T16:00,15.8,81,0,3,1002.6,100,2.28
2019-01-05T17:00,15.7,81,0,3,1003.4,98,2.44
2019-01-05T18:00,15.2,79,0,3,1003.7,93,2.33
2019-01-05T19:00,15,78,0,3,1004.7,100,2.75
2019-01-05T20:00,14.5,79,0,3,1005.4,100,2.98
2019-01-05T21:00,14.2,80,0,3,1006.1,100,3.32
2019-01-05T22:00,13.4,82,0,3,1006.3,100,3.51
2019-01-05T23:00,13.2,83,0,3,1006,100,3.49
2019-01-06T00:00,13.1,84,0,3,1005.8,100,3.26
