time,temperature_2m (°C),relativehumidity_2m (%),rain (mm),weathercode (wmo code),cloudcover (%),surface_pressure (hPa),windspeed_10m (m/s)
2024-03-01T00:00,9.6,81,0,3,100,1004.9,4.66
2024-03-01T01:00,9.4,79,0,3,100,1004.8,4.88
2024-03-01T02:00,9.3,78,0,3,100,1004.7,5.26
2024-03-01T03:00,9.3,77,0,3,100,1004.4,5.2
2024-03-01T04:00,9.1,75,0,3,100,1004.3,5.29
2024-03-01T05:00,9.1,73,0,3,100,1004.7,5.42
2024-03-01T06:00,8.9,72,0,3,100,1005.2,4.72
2024-03-01T07:00,8.7,73,0.1,51,100,1006.3,4.97
2024-03-01T08:00,8.2,78,0.5,53,100,1006.2,4.25
2024-03-01T09:00,7.7,85,0.5,53,100,1006.9,4.07
2024-03-01T10:00,7.7,85,0.2,51,100,1007.5,4.49
2024-03-01T11:00,8.1,80,0,3,100,1007.5,4.73
2024-03-01T12:00,8.8,75,0,3,100,1007.3,4.81
2024-03-01T13:00,9.3,71,0,3,100,1006.2,4.9
2024-03-01T14:00,9.1,70,0,3,100,1005.1,5.15
2024-03-01T15:00,9,69,0,3,100,1004.7,5.1
2024-03-01T16:00,8.4,72,0.1,51,100,1004.8,4.88
2024-03-01T17:00,8.1,74,0.1,51,100,1005.1,4.53
2024-03-01T18:00,7.4,80,0.1,51,100,1005.3,4.03
2024-03-01T19:00,7.3,83,0.4,51,100,1005.9,3.96
2024-03-01T20:00,7.1,87,0.2,51,100,1006.7,4.11
2024-03-01T21:00,7,87,0.1,51,100,1007.2,3.89
2024-03-01T22:00,7.2,85,0,3,100,1007.1,3.28
2024-03-01T23:00,7.5,82,0,3,100,1007.2,3.26
2024-03-02T00:00,7.5,81,0,3,100,1006.9,3.18
2024-03-02T01:00,7.3,80,0,3,100,1006.7,3.31
2024-03-02T02:00,7.2,79,0,3,100,1006.6,3.81
2024-03-02T03:00,7,80,0.1,51,100,1006.4,4.03
2024-03-02T04:00,6.5,81,0,3,100,1005.7,3.31
2024-03-02T05:00,6.6,81,0.2,51,100,1005.9,3.29
2024-03-02T06:00,6.4,88,0.4,51,100,1006.7,3.04
2024-03-02T07:00,6.3,89,0.2,51,100,1007.2,3.16
