time,temperature_2m (°C),relativehumidity_2m (%),rain (mm),weathercode (wmo code),surface_pressure (hPa),cloudcover (%),windspeed_10m (m/s)
2019-01-01 00:00:00,6.3,82,0.0,3,1012.1,82,3.86
2019-01-01 01:00:00,6.4,81,0.0,2,1011.9,63,3.86
2019-01-01 02:00:00,6.4,80,0.0,2,1011.7,53,3.79
2019-01-01 03:00:00,6.4,80,0.0,1,1011.5,48,3.76
2019-01-01 04:00:00,6.0,79,0.0,1,1011.3,36,3.86
2019-01-01 05:00:00,5.9,80,0.0,1,1011.2,31,4.11
2019-01-01 06:00:00,5.8,79,0.0,1,1011.6,21,3.67
2019-01-01 07:00:00,5.7,78,0.0,1,1012.4,22,3.51
2019-01-01 08:00:00,6.2,77,0.0,1,1013.3,32,4.22
2019-01-01 09:00:00,6.9,75,0.0,1,1012.9,23,4.74
2019-01-01 10:00:00,9.5,67,0.0,1,1012.7,23,4.74
2019-01-01 11:00:00,9.6,67,0.0,1,1011.5,26,4.79
2019-01-01 12:00:00,9.6,67,0.0,0,1009.9,16,4.62
2019-01-01 13:00:00,11.0,64,0.0,1,1008.5,32,4.43
2019-01-01 14:00:00,11.0,64,0.0,1,1008.0,28,4.37
2019-01-01 15:00:00,11.0,65,0.0,1,1008.1,35,4.24
2019-01-01 16:00:00,10.6,67,0.0,2,1008.3,51,4.27
2019-01-01 17:00:00,10.4,68,0.0,2,1008.7,63,3.88
2019-01-01 18:00:00,10.5,68,0.0,2,1009.3,51,3.54
2019-01-01 19:00:00,9.9,68,0.0,2,1009.9,59,3.54
2019-01-01 20:00:00,9.4,69,0.0,2,1010.3,60,3.45
2019-01-01 21:00:00,9.2,68,0.0,2,1010.7,64,3.37
2019-01-01 22:00:00,8.6,72,0.0,2,1010.8,65,3.35
2019-01-01 23:00:00,8.4,73,0.0,2,1011.0,74,3.45
2019-01-02 00:00:00,8.3,74,0.0,2,1011.0,78,3.48
2019-01-02 01:00:00,8.2,75,0.1,51,1010.9,71,3.2
2019-01-02 02:00:00,8.1,76,0.1,51,1010.5,87,3.32
2019-01-02 03:00:00,8.0,77,0.1,51,1010.2,89,3.51
2019-01-02 04:00:00,7.7,79,0.0,2,1009.9,77,3.61
2019-01-02 05:00:00,7.4,85,0.0,3,1010.0,100,3.55
2019-01-02 06:00:00,7.3,82,0.0,3,1009.6,100,3.44
2019-01-02 07:00:00,7.3,81,0.0,3,1010.5,100,3.4
2019-01-02 08:00:00,7.4,80,0.0,3,1011.2,82,3.58
2019-01-02 09:00:00,7.7,79,0.0,3,1011.6,82,3.68
2019-01-02 10:00:00,9.8,71,0.0,2,1011.9,76,3.58
2019-01-02 11:00:00,10.7,69,0.0,2,1011.2,80,3.76
2019-01-02 12:00:00,11.6,66,0.0,2,1010.1,69,3.83
2019-01-02 13:00:00,12.9,64,0.0,3,1008.8,82,3.93
2019-01-02 14:00:00,13.0,64,0.0,3,1008.1,100,3.96
2019-01-02 15:00:00,13.0,64,0.0,3,1007.8,100,3.89
2019-01-02 16:00:00,12.5,66,0.0,3,1007.8,100,3.83
2019-01-02 17:00:00,12.0,66,0.0,3,1008.4,100,3.64
2019-01-02 18:00:00,10.0,74,0.0,3,1008.6,100,3.2
2019-01-02 19:00:00,9.9,74,0.0,3,1009.5,100,3.2
2019-01-02 20:00:00,9.8,75,0.0,3,1010.2,100,3.2
2019-01-02 21:00:00,9.8,75,0.0,3,1010.3,100,3.1
2019-01-02 22:00:00,9.5,77,0.0,3,1010.2,100,2.95
2019-01-02 23:00:00,9.5,77,0.1,51,1010.1,100,2.95
2019-01-03 00:00:00,9.4,78,0.2,51,1010.0,100,2.73
2019-01-03 01:00:00,9.3,81,0.1,51,1009.6,100,2.51
2019-01-03 02:00:00,9.3,82,0.1,51,1009.4,100,2.55
2019-01-03 03:00:00,9.3,82,0.1,51,1009.0,100,2.51
2019-01-03 04:00:00,9.0,85,0.1,51,1008.4,100,2.64
2019-01-03 05:00:00,8.9,86,0.0,3,1008.3,100,2.64
2019-01-03 06:00:00,8.6,92,0.0,3,1008.2,100,2.56
