time,temperature_2m (°C),relativehumidity_2m (%),rain (mm),weathercode (wmo code),surface_pressure (hPa),cloudcover (%),windspeed_10m (m/s)
2019-07-01T01:00,28.1,93,0,2,986.6,77,0.81
2019-07-01T02:00,27.9,94,0,2,985.5,67,1.39
2019-07-01T03:00,27.6,95,0,2,985.4,74,1.17
2019-07-01T04:00,27,98,0,3,985.1,100,0.76
2019-07-01T05:00,27.1,98,0.2,51,985.4,88,1.08
2019-07-01T06:00,28.4,91,0,2,985.4,69,0.64
2019-07-01T07:00,28.7,90,0,2,986.1,75,0.76
2019-07-01T08:00,29.7,88,0.1,51,987.1,76,0.58
2019-07-01T09:00,30,87,0.1,51,987,54,1.08
2019-07-01T10:00,32.7,71,0.1,51,987.1,70,1
2019-07-01T11:00,33.7,64,0.1,51,987,100,1.04
2019-07-01T12:00,33.1,66,0.1,51,986.3,52,1.24
2019-07-01T13:00,34.3,61,0.4,51,985.6,64,1.8
2019-07-01T14:00,34.2,64,0.9,53,984.7,81,2.11
2019-07-01T15:00,32.8,71,0.1,51,984.1,44,1.99
2019-07-01T16:00,33.4,67,0.3,51,983.7,40,1.63
2019-07-01T17:00,33.7,66,0.4,51,984.4,55,2.6
2019-07-01T18:00,31.2,75,0,1,984,45,0.9
2019-07-01T19:00,30.9,75,0,1,985,32,1
2019-07-01T20:00,30.5,77,0,1,985.8,41,1.36
2019-07-01T21:00,30,80,0,0,985.8,20,1.12
2019-07-01T22:00,28.4,87,0,1,985.9,21,0.81
2019-07-01T23:00,27.8,90,0,1,986.1,26,1
2019-07-02T00:00,27.9,90,0,1,985.8,28,1
2019-07-02T01:00,27.5,93,0,1,985.5,31,1.02
2019-07-02T02:00,27.2,94,0,1,985,30,1.14
2019-07-02T03:00,27.3,94,0,1,984.8,31,1.17
2019-07-02T04:00,27.2,93,0,1,984.8,29,1.08
2019-07-02T05:00,26.9,94,0,1,984.8,28,1.12
2019-07-02T06:00,27.3,89,0,1,985.8,30,0.85
2019-07-02T07:00,28.4,86,0,1,986,31,1.33
2019-07-02T08:00,29.8,81,0,1,986.4,35,0.94
2019-07-02T09:00,30.6,76,0,1,986.4,39,1.63
2019-07-02T10:00,32.8,64,0.1,51,986.5,71,2.24
2019-07-02T11:00,32.5,67,0,2,986.3,59,2.28
2019-07-02T12:00,32.4,67,0,3,985.7,80,2.11
2019-07-02T13:00,34.1,63,0.1,51,985.3,64,1.64
2019-07-02T14:00,32,72,1.5,61,984.4,96,1.53
2019-07-02T15:00,31.5,78,3.7,63,984.3,86,2.86
2019-07-02T16:00,28.5,89,3,63,983.9,100,3.13
2019-07-02T17:00,29,83,0.6,53,984.4,65,1.79
2019-07-02T18:00,27,95,0.3,51,985,63,0.78
2019-07-02T19:00,27.4,93,0.3,51,985.1,69,0.61
2019-07-02T20:00,27.2,93,0.2,51,985.9,79,1.32
2019-07-02T21:00,27,93,0.2,51,986.4,89,1.63
2019-07-02T22:00,26.4,96,0.4,51,986.6,100,1.5
2019-07-02T23:00,26.2,97,0.5,53,986.7,100,1.58
2019-07-03T00:00,26.3,97,0.5,53,986.8,100,1.55
2019-07-03T01:00,25.9,99,0.4,51,986.6,100,1.43
2019-07-03T02:00,25.8,98,0.4,51,986.3,100,1.52
2019-07-03T03:00,25.9,99,1.2,55,985.9,100,1.58
2019-07-03T04:00,25.8,100,1.4,61,986.3,100,1.84
2019-07-03T05:00,25.9,99,0.5,53,986.6,100,1.79
2019-07-03T06:00,25.6,99,0.3,51,986.8,100,1.04
2019-07-03T07:00,25.6,99,0.5,53,987.5,100,1.62
2019-07-03T08:00,26,98,0.4,51,988.3,100,1.43
2019-07-03T09:00,26.5,98,0.1,51,988.6,100,1.43
2019-07-03T10:00,28.7,90,0.1,51,989,100,1.65
2019-07-03T11:00,27.9,87,0.7,53,989,89,2.01
2019-07-03T12:00,29,86,0.5,53,988.3,94,2.92
2019-07-03T13:00,29,84,0.7,53,988.3,88,3.62
2019-07-03T14:00,29.7,79,0.3,51,988,76,3.04
2019-07-03T15:00,28.8,82,0.6,53,988,82,3.1
2019-07-03T16:00,27.8,87,0.2,51,987.8,76,3.13
2019-07-03T17:00,27.6,87,0.8,53,987.7,84,2.92
2019-07-03T18:00,26.8,92,0.2,51,987.6,45,1.7
2019-07-03T19:00,26.9,92,0.1,51,988.7,63,1.8
2019-07-03T20:00,26.9,93,0.1,51,989.6,100,1.94
2019-07-03T21:00,26.9,94,0,3,990.7,100,2.01
2019-07-03T22:00,26.5,96,0.1,51,991,100,1.98
2019-07-03T23:00,26.6,95,0.3,51,990.8,100,1.94
2019-07-04T00:00,26.6,96,0.3,51,990.4,100,1.7
2019-07-04T01:00,26,98,0.3,51,990.3,100,1.5
2019-07-04T02:00,26.1,99,0.1,51,990.3,100,1.49
2019-07-04T03:00,26.3,98,0,3,990,100,1.56
2019-07-04T04:00,25.5,97,0.1,51,990,100,1.56
2019-07-04T05:00,25.7,97,0.6,53,990.4,97,1.62
2019-07-04T06:00,26.5,95,0.2,51,989.8,92,1.8
2019-07-04T07:00,27.1,95,0.1,51,991,66,1.75
2019-07-04T08:00,27.2,94,0.1,51,990.9,81,1.53
2019-07-04T09:00,27.4,95,0,2,991.3,69,1.82
2019-07-04T10:00,30.4,75,0.1,51,990.9,63,2.26
2019-07-04T11:00,30.4,74,0.2,51,991,100,3.4
2019-07-04T12:00,30,79,0.4,51,990.8,75,3.91
2019-07-04T13:00,32.1,70,0.1,51,990.9,54,2.9
2019-07-04T14:00,31.7,70,0.2,51,989.6,66,3.81
2019-07-04T15:00,32.8,67,0.1,51,989.6,57,3.81
2019-07-04T16:00,31.2,73,0.2,51,988.8,47,3.7
2019-07-04T17:00,30.3,77,0,2,988.7,51,3.3
2019-07-04T18:00,29.5,82,0,2,988.3,57,2.75
2019-07-04T19:00,29,84,0,1,989.5,45,2.09
2019-07-04T20:00,28.5,86,0,2,990.1,50,1.32
2019-07-04T21:00,28.3,87,0,2,990.4,51,1.46
2019-07-04T22:00,27.6,91,0,1,990.5,44,1.24
2019-07-04T23:00,27.3,93,0,2,990.5,53,1.21
2019-07-05T00:00,27.1,93,0,2,990.3,52,1.58
2019-07-05T01:00,26.8,94,0,2,989.6,54,1.84
2019-07-05T02:00,26.9,94,0,2,989.3,56,1.61
2019-07-05T03:00,26.9,94,0,2,989,65,1.7
2019-07-05T04:00,26.7,94,0,2,988.9,78,1.73
2019-07-05T05:00,26.8,94,0,2,988.9,68,1.55
2019-07-05T06:00,27.2,92,0,2,988.6,69,0.82
2019-07-05T07:00,27.6,90,0,2,989.1,74,1.22
2019-07-05T08:00,27.9,88,0.1,51,989.1,83,2.61
2019-07-05T09:00,27.7,88,0.2,51,989.3,84,3.11
2019-07-05T10:00,29.4,77,0.2,51,989.5,90,3.54
2019-07-05T11:00,30,75,0.5,53,989.3,86,3.83
2019-07-05T12:00,29.8,78,0.3,51,988.8,95,3.86
2019-07-05T13:00,31.3,72,0.3,51,988.4,70,3.84
2019-07-05T14:00,31.4,71,0.4,51,987.8,60,3.61
2019-07-05T15:00,31.1,73,0.1,51,987.1,77,3.62
2019-07-05T16:00,31,75,0.2,51,986.3,77,3.7
2019-07-05T17:00,30.7,75,0.2,51,986,70,3.14
2019-07-05T18:00,29.4,82,0.1,51,986.5,67,2.48
2019-07-05T19:00,29.1,83,0,2,986.4,53,1.34
2019-07-05T20:00,28.9,84,0,2,986.8,64,1.32
2019-07-05T21:00,28.6,85,0,2,987.5,57,1.3
2019-07-05T22:00,27.8,90,0,2,987.7,71,1.2
2019-07-05T23:00,27.3,92,0,2,987.5,68,1.4
2019-07-06T00:00,27.2,92,0,2,987.7,64,1.4
2019-07-06T01:00,26.9,93,0,2,987.2,63,1.32
2019-07-06T02:00,26.8,94,0,2,987.1,79,1.41
2019-07-06T03:00,26.8,95,0,3,986.9,82,1.46
2019-07-06T04:00,26.5,96,0,3,986.7,89,1.58
2019-07-06T05:00,26.4,96,0,3,987,94,1.62
2019-07-06T06:00,27.4,92,0,3,986.8,100,1.17
2019-07-06T07:00,27.7,91,0.1,51,987,86,1.84
2019-07-06T08:00,28,91,0.1,51,987.3,62,3.18
2019-07-06T09:00,28.8,85,0.1,51,987.2,71,3.89
2019-07-06T10:00,30.5,74,0.1,51,987.3,70,4.34
2019-07-06T11:00,30.8,72,0.1,51,987.1,59,4.38
2019-07-06T12:00,30.7,73,0.3,51,987,64,3.64
2019-07-06T13:00,32.2,70,0.1,51,986.3,53,3.12
2019-07-06T14:00,32.6,69,0,2,985.6,61,3.47
2019-07-06T15:00,32.8,68,0.1,51,985.2,62,3.55
2019-07-06T16:00,32.1,72,0.1,51,984.8,72,3.32
2019-07-06T17:00,32.4,70,0,2,984.9,57,2.28
2019-07-06T18:00,30.6,81,0,2,984.7,56,1.51
2019-07-06T19:00,30.1,82,0,2,986.1,56,1.22
2019-07-06T20:00,29.7,83,0,2,986.7,62,1.3
2019-07-06T21:00,29.4,85,0,2,987.2,71,1.32
2019-07-06T22:00,28.4,89,0,2,987.1,59,1.73
2019-07-06T23:00,28.3,90,0,2,987.5,69,1.51
2019-07-07T00:00,28.2,91,0,3,987.8,87,1.63
2019-07-07T01:00,28.1,92,0.1,51,987.4,100,2.2
2019-07-07T02:00,28,93,0.1,51,987.6,90,2.5
2019-07-07T03:00,28,93,0.6,53,987.5,100,2.42
2019-07-07T04:00,27.7,93,0.2,51,987.6,100,1.65
2019-07-07T05:00,27.3,94,0.1,51,987.4,100,1.63
2019-07-07T06:00,28.2,91,0.2,51,987.3,100,1.46
2019-07-07T07:00,28.6,89,0.1,51,987.6,78,1.96
2019-07-07T08:00,29,86,0.1,51,987.8,64,2.34
2019-07-07T09:00,29.3,82,0.1,51,988,58,3
2019-07-07T10:00,31,74,0.1,51,988,67,3.58
2019-07-07T11:00,31.7,74,0.1,51,988.2,82,3.84
2019-07-07T12:00,31.8,73,0.1,51,987.7,77,3.76
2019-07-07T13:00,32.3,72,0.1,51,987.4,76,3.58
2019-07-07T14:00,32.5,71,0,2,987.4,68,3.41
2019-07-07T15:00,31.6,73,0.4,51,987.7,56,3.45
2019-07-07T16:00,30.9,78,0,2,987.2,61,3.05
2019-07-07T17:00,30.2,79,0.1,51,987.5,76,3.07
2019-07-07T18:00,29,84,0,3,988.5,100,1.46
2019-07-07T19:00,28.7,86,0,2,989,62,0.86
2019-07-07T20:00,28.5,88,0,2,989.3,60,1.21
2019-07-07T21:00,28.5,87,0,2,990,74,1.62
2019-07-07T22:00,28.2,89,0,3,989.7,98,1.43
2019-07-07T23:00,27.9,89,0,3,989.9,100,1.84
2019-07-08T00:00,27.9,89,0,3,989.9,100,1.75
2019-07-08T01:00,27.5,91,0,3,989.5,100,1.5
2019-07-08T02:00,27.5,92,0,3,989.5,100,1.61
2019-07-08T03:00,27.5,92,1.1,55,989.3,100,1.82
2019-07-08T04:00,27.2,93,0.1,51,989.3,100,1.9
2019-07-08T05:00,27.4,93,0,3,989,100,1.53
2019-07-08T06:00,27.7,90,0,3,989.2,89,1.06
2019-07-08T07:00,28.2,89,0,3,989.8,90,1.6
2019-07-08T08:00,28.9,87,0,3,989.9,97,1.75
2019-07-08T09:00,29.2,88,0,2,990.2,68,2.12
2019-07-08T10:00,30.9,79,0.1,51,990.1,100,3.22
2019-07-08T11:00,31.1,74,0.3,51,989.9,76,4.14
2019-07-08T12:00,30.8,75,0.5,53,989.7,69,3.5
2019-07-08T13:00,30.9,75,0.7,53,988.5,88,3.18
2019-07-08T14:00,31.8,74,0,2,988.2,66,4.44
2019-07-08T15:00,32.1,73,0.3,51,988.4,69,3.19
2019-07-08T16:00,31.3,76,0.1,51,987.2,68,4.02
2019-07-08T17:00,30.4,77,0.1,51,987.1,67,3.3
2019-07-08T18:00,30.3,79,0,2,986.8,77,2.33
2019-07-08T19:00,29.8,80,0,2,987.8,57,1.39
2019-07-08T20:00,29.4,82,0,2,988.6,58,1.8
2019-07-08T21:00,29.1,84,0,1,989,49,1.91
2019-07-08T22:00,28.4,88,0,1,989,47,1.9
2019-07-08T23:00,28.3,88,0,1,988.7,42,1.92
2019-07-09T00:00,28.1,89,0,1,988.6,44,1.49
