time,weathercode (wmo code),temperature_2m_max (°C),temperature_2m_min (°C),temperature_2m_mean (°C),precipitation_sum (mm),precipitation_hours (h),windspeed_10m_max (m/s)
2020-01-01,3,21.7,12.4,16.6,0.0,0,2.56
2020-01-02,3,23.1,12.7,17.3,0.0,0,1.8
2020-01-03,3,25.3,13.1,18.4,0.0,0,1.77
2020-01-04,3,26.4,13.7,19.6,0.0,0,1.66
2020-01-05,3,25.1,15.8,19.9,0.0,0,3.07
2020-01-06,3,26.0,17.0,21.2,0.0,0,2.2
2020-01-07,51,27.9,18.6,22.4,0.2,2,3.35
2020-01-08,1,24.5,14.6,19.1,0.0,0,4.48
2020-01-09,3,23.8,13.3,18.3,0.0,0,1.9
2020-01-10,3,26.4,15.0,20.0,0.0,0,2.42
2020-01-11,3,21.5,13.0,16.6,0.0,0,5.04
2020-01-12,3,17.3,9.4,13.3,0.0,0,4.94
2020-01-13,2,19.9,10.3,14.6,0.0,0,2.0
2020-01-14,2,21.9,12.2,16.2,0.0,0,2.82
2020-01-15,3,24.8,11.6,17.4,0.0,0,3.77
2020-01-16,3,22.9,13.2,16.9,0.0,0,4.85
2020-01-17,3,15.9,11.0,13.1,0.0,0,4.3
2020-01-18,3,18.3,10.4,13.4,0.0,0,3.4
2020-01-19,51,14.8,11.1,12.9,0.6,4,3.0
2020-01-20,3,21.3,11.6,15.9,0.0,0,2.12
2020-01-21,3,23.5,12.0,17.6,0.0,0,2.1
2020-01-22,3,25.2,16.3,19.7,0.0,0,2.11
2020-01-23,3,28.4,18.9,22.3,0.0,0,2.16
2020-01-24,51,26.3,18.7,21.7,0.7,7,2.84
2020-01-25,61,20.1,12.8,17.5,8.3,7,4.52
2020-01-26,63,13.0,9.4,10.9,17.3,12,4.81
2020-01-27,51,12.3,7.6,9.6,0.4,2,5.36
2020-01-28,2,13.3,7.5,9.6,0.0,0,4.07
2020-01-29,0,15.0,7.2,10.4,0.0,0,4.26
2020-01-30,0,16.8,6.8,11.0,0.0,0,5.0
2020-01-31,0,18.7,4.5,10.7,0.0,0,2.44
2020-02-01,0,21.6,5.4,12.5,0.0,0,2.1
2020-02-02,51,19.9,10.3,14.6,0.1,1,1.75
2020-02-03,3,20.4,11.2,15.3,0.0,0,3.45
2020-02-04,55,15.4,11.9,13.5,5.9,18,2.34
2020-02-05,3,18.8,13.4,15.9,0.0,0,2.78
2020-02-06,3,18.0,12.6,15.7,0.0,0,1.97
2020-02-07,53,17.6,14.0,15.6,0.9,3,3.64
2020-02-08,3,18.3,12.0,14.5,0.0,0,3.79
2020-02-09,3,18.5,10.9,13.7,0.0,0,3.73
2020-02-10,3,20.8,10.7,15.5,0.0,0,2.2
2020-02-11,51,22.7,16.1,18.3,0.4,4,2.87
2020-02-12,51,25.1,16.2,19.7,2.2,11,2.55
2020-02-13,63,21.1,16.3,18.1,8.1,6,2.42
2020-02-14,61,20.5,17.2,18.9,10.7,10,3.26
2020-02-15,65,23.2,12.1,20.1,29.0,16,7.13
2020-02-16,63,12.3,8.6,9.9,8.9,8,6.69
2020-02-17,0,15.2,6.6,10.2,0.0,0,5.65
2020-02-18,0,18.7,6.8,11.5,0.0,0,3.22
2020-02-19,1,20.9,5.2,13.2,0.0,0,2.02
2020-02-20,2,24.2,12.4,17.0,0.0,0,2.15
2020-02-21,1,26.2,11.2,17.8,0.0,0,1.82
2020-02-22,2,26.5,14.3,19.5,0.0,0,3.35
2020-02-23,2,27.1,14.3,19.8,0.0,0,1.87
2020-02-24,51,26.5,14.6,20.1,0.1,1,3.64
2020-02-25,51,27.0,17.4,21.8,1.5,7,2.06
2020-02-26,3,29.9,16.6,22.7,0.0,0,1.91
2020-02-27,3,27.7,18.1,22.1,0.0,0,2.69
2020-02-28,3,26.7,15.8,20.8,0.0,0,1.92
2020-02-29,2,28.8,15.9,21.9,0.0,0,2.69
2020-03-01,51,26.9,17.6,21.5,0.6,3,3.71
2020-03-02,51,23.6,16.8,20.0,0.1,1,3.31
2020-03-03,51,24.3,16.8,20.4,0.6,2,2.69
2020-03-04,55,19.4,12.8,15.3,8.8,21,4.5
2020-03-05,51,19.3,12.7,15.9,0.1,1,2.83
2020-03-06,3,23.5,15.3,19.1,0.0,0,3.04
2020-03-07,51,25.1,17.4,20.9,0.7,6,3.07
2020-03-08,3,26.5,18.2,22.3,0.0,0,5.12
2020-03-09,61,26.1,20.6,23.3,2.5,9,5.22
2020-03-10,63,22.8,16.3,19.4,10.3,3,5.47
2020-03-11,51,23.0,13.6,17.7,0.5,2,2.87
2020-03-12,51,22.4,15.8,18.9,0.3,1,4.83
2020-03-13,63,24.0,17.1,20.7,17.4,12,4.34
2020-03-14,61,22.7,16.3,18.7,6.9,7,4.74
2020-03-15,1,23.4,12.9,17.9,0.0,0,3.08
2020-03-16,3,24.3,13.6,18.8,0.0,0,2.41
2020-03-17,53,22.7,15.7,19.2,3.2,5,2.91
2020-03-18,53,21.2,18.2,19.3,8.0,15,2.43
2020-03-19,61,21.4,18.1,19.2,11.7,18,1.78
2020-03-20,53,23.4,18.4,20.6,2.6,10,1.65
2020-03-21,53,24.2,20.1,22.0,0.5,1,4.08
2020-03-22,51,30.2,20.6,24.7,0.1,1,3.05
2020-03-23,53,27.7,20.9,23.6,2.2,8,1.78
2020-03-24,3,27.5,20.2,23.1,0.0,0,1.75
2020-03-25,3,28.1,17.4,22.5,0.0,0,2.69
2020-03-26,63,27.0,19.9,22.4,7.3,13,3.82
2020-03-27,53,28.2,18.9,22.7,2.0,7,3.81
2020-03-28,63,21.8,16.1,19.4,10.1,9,4.85
2020-03-29,51,20.0,15.4,18.0,0.2,2,4.92
2020-03-30,51,18.9,13.2,14.8,1.8,14,2.66
